"datetime","player","message"
"12/09/2025 14:22:50","Daniel","I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist"
"12/09/2025 14:22:52","Hamed","I'll verify if any shared storage is still attached to the checkout DB"
"12/09/2025 14:23:04","Daniel","Step 3 done, DB connection to checkout is now cut. Also confirmed that we have a daily backup job in place running at 2AM everyday"
"12/09/2025 14:23:06","Tanya","Step 1 done, Checkout servers are now fully disconnected. Moving to isolate the infra from all external traffic"
"12/09/2025 14:23:08","Hamed","Step 4 confirmed, No shared storage attached to checkout, which makes sense since checkout has its standalone storage"
"12/09/2025 14:23:14","Tanya","Step 2 completed, Infra is now fully cut off from the outside world. That means the website will remain completely down until we recover"
"12/09/2025 14:23:19","Maya","Step 5 done, Cyvantics has completed taking snapshots of the checkout servers and database. They've now moved on to forensics. @Hamed, we're good to kill the script now"
"12/09/2025 14:23:29","Hamed","Step 6 done, The Script has been killed. @Calum McDowell let us know and double-check if anything else is pending on our side"
"12/09/2025 14:24:47","calum.mcdowell","This all seems good!"
"12/09/2025 14:25:04","Hamed","I think we are all done for the isolation"
"12/09/2025 14:25:26","Maya","Yes, we must have a backup. Platform team can confirm us"
"12/09/2025 14:25:34","calum.mcdowell","<@U06CA3MRAJF> have we discovered how the hosts were accessed?"
"12/09/2025 14:25:35","Hamed","Correct, we do have backup which only runs at 2AM. Latest is yesterday's. We'll lose today's orders"
"12/09/2025 14:25:38","Maya","Isolation is complete. We're good to move toward restoration using the backup storage now"
"12/09/2025 14:25:42","Maya","@Calum McDowell could you please confirm with business before moving forward on this"
"12/09/2025 14:25:51","Maya","I've called in @Bob to the channel"
"12/09/2025 14:25:53","Bob","I hear you need my help, what exactly should I look into?"
"12/09/2025 14:26:03","Bob","With the sale starting today, the potential loss is significant ? around $180k"
"12/09/2025 14:26:19","Maya","I can confirm that this is only happening within checkout and rest of the forensics is done by Cyvantics"
"12/09/2025 14:27:06","calum.mcdowell","How long will it take us to restore from backup?"
"12/09/2025 14:27:20","Maya","Around 5-7 mins"
"12/09/2025 14:27:45","Maya","Thanks for the go-ahead. I've rechecked and confirmed that only checkout components were impacted. @Calum McDowell, please track all restoration steps"
"12/09/2025 14:27:54","Maya","I'm now validating the backup storage to ensure it's safe"
"12/09/2025 14:27:57","Hamed","I'm provisioning new checkout servers, will update once ready"
"12/09/2025 14:28:02","calum.mcdowell","Steps for Restoration:
Steps to be done, mentioned along with the
*owning* team
1. Validate backups → Security
2. Wipe infected systems → Platforms
3. Rebuild from clean backup → Platforms
4. Re-enable security agent on the servers → Security
5. Reconnect traffic to services and monitor → Platforms
"
"12/09/2025 14:28:03","Maya","Backup is clean and safe. @Hamed, you can start rebuilding checkout from backup storage"
"12/09/2025 14:28:07","Hamed","Thanks, Maya. New servers are ready. I'll start rebuilding now using backup storage"
"12/09/2025 14:28:14","Hamed","Rebuild completed"
"12/09/2025 14:28:18","Maya","I've enabled the security agents (EDR) on checkout servers"
"12/09/2025 14:28:21","Daniel","I'll monitor application health once services are restored"
"12/09/2025 14:28:24","Maya"," @Calum McDowell , can you confirm all tasks are wrapped up and we are good to bring the traffic back? Just want to be sure, as this is the final restoration step before we move"
"12/09/2025 14:28:49","calum.mcdowell","Did we wipe the infected systems?"
"12/09/2025 14:29:12","calum.mcdowell","<@U06CA3MRAJF> have we investigated any data leaks?"
"12/09/2025 14:29:17","Hamed","Not the DB but yes the server"
"12/09/2025 14:29:31","calum.mcdowell","Are we confident only checkout was impacted?"
"12/09/2025 14:30:02","Maya","We can get these details from cyvantics , on a high level its only checkout"
"12/09/2025 14:30:22","Tanya","Yes , i'm not seeing spike in resources of any other apps"
"12/09/2025 14:30:30","calum.mcdowell","Thanks <@U047N6LUYJX>"
"12/09/2025 14:30:34","calum.mcdowell","I think we're good to proceed"
"12/09/2025 14:30:38","Maya","Also, checked that EDR is intact on other servers"
"12/09/2025 14:30:51","Tanya","Thanks for the go ahead. Bringing up network traffic in progress?"
"12/09/2025 14:31:04","calum.mcdowell","Yes"
"12/09/2025 14:31:10","Tanya","Restoration completed"
"12/09/2025 14:31:32","calum.mcdowell","Are we seeing traffic coming back?"
"12/09/2025 14:31:35","Bob","Wait!! getting a bunch of new complaints now. Users are neither able to see their return requests nor able to place new returns on the site"
"12/09/2025 14:31:42","Maya","Yeah, that's probably the missing today's checkout data. Anyone who ordered or returned something during that time won't see it - makes sense since we restored from the yesterday's backup"
"12/09/2025 14:31:44","Tanya","Tough, but expected :)"
"12/09/2025 14:31:45","Bob","What should I tell them? Can you check with business before sending anything out?"
"12/09/2025 14:31:59","Tanya","I can see the website up again , could you please try to reopen it again"
"12/09/2025 14:32:20","calum.mcdowell","Orders are returning"
"12/09/2025 14:33:46","Maya","@Calum McDowell I've received the forensics report from Cyvantics Security"
"12/09/2025 14:33:48","calum.mcdowell","<@U047N91SRH8> ""Keeping it high-level, just say website restored, but there's an issue with few orders. We'll refund them, and customers will get a $10 gift voucher as an apology"""
"12/09/2025 14:33:49","Maya","forensics"
"12/09/2025 14:34:06","Maya","Also, I just finished combing through Shay's mailbox. There's something important here, I found two emails from what looks like our monitoring vendor - ClearTech"
"12/09/2025 14:34:08","Maya","phished_email"
"12/09/2025 14:34:26","Maya","We will take this forward in PIR , for now website is restored"
"12/09/2025 14:34:36","Maya","Alright, since everything's back up and stable, we can now move back to the main #online-boutique channel. No further actions left here"
